ICAO;Cidade;Ano;Passageiros processados;COD IBGE
SBAE;Bauru;2025;63508;3506003
SBAQ;Araraquara;2025;3202;3503208
SBAR;Aracaju;2025;1341793;2800308
SBAT;Alta Floresta;2025;33122;5100250
SBAU;Araçatuba;2025;97315;3502804
SBAX;Araxá;2025;15526;3104007
SBBE;Belém;2025;3739440;1501402
SBBR;Brasília;2025;15277186;5300108
SBBV;Boa Vista;2025;444202;1400100
SBBW;Barra do Garças;2025;1282;5101803
SBCA;Cascavel;2025;442252;4104808
SBCB;Cabo Frio;2025;23976;3300704
SBCF;Belo Horizonte;2025;12533376;3106200
SBCG;Campo Grande;2025;1644018;5002704
SBCH;Chapecó;2025;620240;4204202
SBCJ;Parauapebas;2025;264469;1505536
SBCN;Caldas Novas;2025;54929;5204508
SBCP;Campos dos Goytacazes;2025;5651;3301009
SBCR;Corumbá;2025;16791;5003207
SBCT;Curitiba;2025;6006262;4106902
SBCX;Caxias do Sul;2025;386741;4305108
SBCY;Cuiabá;2025;2531526;5103403
SBCZ;Cruzeiro do Sul;2025;42906;1200203
SBDB;Bonito;2025;60423;5002209
SBDN;Presidente Prudente;2025;291804;3541406
SBEG;Manaus;2025;3051036;1302603
SBFI;Foz do Iguaçu;2025;2175793;4108304
SBFL;Florianópolis;2025;3599317;4205407
SBFN;Fernando de Noronha;2025;334364;2605459
SBFZ;Fortaleza;2025;5500975;2304400
SBGL;Rio de Janeiro;2025;11582825;3304557
SBGO;Goiânia;2025;3787009;5208707
SBGR;São Paulo;2025;29521113;3550308
SBGV;Governador Valadares;2025;82711;3127701
SBHT;Altamira;2025;74868;1500602
SBIH;Itaituba;2025;17134;1503606
SBIL;Ilhéus;2025;645999;2913606
SBIP;Ipatinga;2025;149065;3131307
SBIZ;Imperatriz;2025;328358;2105302
SBJA;Jaguaruna;2025;109916;4208807
SBJE;Cruz;2025;296036;2304251
SBJI;Ji-Paraná;2025;6225;1100122
SBJP;João Pessoa;2025;1814701;2507507
SBJU;Juazeiro do Norte;2025;494269;2307304
SBJV;Joinville;2025;475439;4209102
SBKG;Campina Grande;2025;138864;2504009
SBKP;Campinas;2025;11781935;3509502
SBLE;Lençóis;2025;12978;2919306
SBLO;Londrina;2025;709398;4113700
SBMA;Marabá;2025;391944;1504208
SBMD;Almeirim;2025;1027;1500503
SBMG;Maringá;2025;863295;4115200
SBMK;Montes Claros;2025;343746;3143302
SBML;Marília;2025;26171;3529005
SBMO;Maceió;2025;2819430;2704302
SBMQ;Macapá;2025;532653;1600303
SBMS;Mossoró;2025;5338;2408003
SBMY;Manicoré;2025;1743;1302702
SBNF;Navegantes;2025;2209587;4211306
SBNM;Santo Ângelo;2025;51782;4317509
SBPA;Porto Alegre;2025;6414785;4314902
SBPB;Parnaíba;2025;16672;2207702
SBPF;Passo Fundo;2025;232806;4314100
SBPG;Ponta Grossa;2025;7212;4119905
SBPJ;Palmas;2025;727642;1721000
SBPK;Pelotas;2025;86415;4314407
SBPL;Petrolina;2025;471659;2611101
SBPO;Pato Branco;2025;16995;4118501
SBPP;Ponta Porã;2025;33635;5006606
SBPS;Porto Seguro;2025;2438633;2925303
SBPV;Porto Velho;2025;754502;1100205
SBRB;Rio Branco;2025;385151;1200401
SBRD;Rondonópolis;2025;49806;5107602
SBRF;Recife;2025;9422128;2611606
SBRJ;Rio de Janeiro;2025;6096316;3304557
SBRP;Ribeirão Preto;2025;679902;3543402
SBSG;Natal;2025;2293377;2408102
SBSI;Sinop;2025;456840;5107909
SBSJ;São José dos Campos;2025;31637;3549904
SBSL;São Luís;2025;1749296;2111300
SBSM;Santa Maria;2025;28779;4316907
SBSN;Santarém;2025;532541;1506807
SBSP;São Paulo;2025;24252637;3550308
SBSR;São José do Rio Preto;2025;917332;3549805
SBSV;Salvador;2025;7303227;2927408
SBTB;Oriximiná;2025;13282;1505304
SBTC;Una;2025;25479;2932507
SBTE;Teresina;2025;1077941;2211001
SBTF;Tefé;2025;23443;1304203
SBTG;Três Lagoas;2025;13254;5008305
SBTT;Tabatinga;2025;70334;1304062
SBTU;Tucuruí;2025;812;1508100
SBUA;São Gabriel da Cachoeira;2025;21864;1303809
SBUG;Uruguaiana;2025;13172;4322400
SBUL;Uberlândia;2025;1051307;3170206
SBUR;Uberaba;2025;107656;3170107
SBVC;Vitória da Conquista;2025;372262;2933307
SBVG;Varginha;2025;971;3170701
SBVH;Vilhena;2025;6201;1100304
SBVT;Vitória;2025;3309219;3205309
SBZM;Goianá;2025;138178;3127388
SDOW;Ourilândia do Norte;2025;733;1505437
SIRI;Maraú;2025;424;2920700
SJZA;Cajazeiras;2025;652;2503704
SN6L;Sobral;2025;73;2312908
SNAB;Araripina;2025;726;2601102
SNBR;Barreiras;2025;79718;2903201
SNCL;Cairu;2025;6319;2905404
SNCP;Correia Pinto;2025;7676;4204558
SNDV;Divinópolis;2025;1244;3122306
SNEB;Paragominas;2025;748;1505502
SNGI;Guanambi;2025;41184;2911709
SNGN;Garanhuns;2025;356;2606002
SNHS;Serra Talhada;2025;1046;2613909
SNIG;Iguatu;2025;35;2305506
SNJM;Manhuaçu;2025;635;3139409
SNMZ;Porto de Moz;2025;724;1505908
SNPD;Patos de Minas;2025;16521;3148004
SNRU;Caruaru;2025;689;2604106
SNSM;Salinópolis;2025;256;1506203
SNTO;Teófilo Otoni;2025;2331;3168606
SNTS;Patos;2025;1121;2510808
SNVS;Breves;2025;1053;1501808
SNWS;Crateús;2025;129;2304103
SNZR;Paracatu;2025;519;3147006
SSGG;Guarapuava;2025;3812;4109401
SSGY;Guaíra;2025;651;4108809
SSKW;Cacoal;2025;10762;1100049
SSOU;Aripuanã;2025;2090;5101407
SSRS;Barreirinhas;2025;501;2101707
SSUM;Umuarama;2025;1055;4128104
SSUV;União da Vitória;2025;208;4128203
SSVL;Telêmaco Borba;2025;177;4127106
SWBE;São Benedito;2025;113;2312304
SWBR;Borba;2025;311;1300805
SWEI;Eirunepé;2025;9587;1301407
SWKO;Coari;2025;2226;1301209
SWKQ;São Raimundo Nonato;2025;7880;2210607
SWLB;Lábrea;2025;681;1302405
SWLC;Rio Verde;2025;24146;5218805
SWMW;Maués;2025;917;1302900
SWPI;Parintins;2025;32115;1303403
SWTP;Santa Isabel do Rio Negro;2025;104;1303601
SWYN;Apuí;2025;1058;1300144
