mun_origem,mun_destino,viagens
1505536,1504208,12304
2100055,1504208,1338
2100402,1504208,184
2100477,1504208,2717
2101004,1504208,582
2102036,1504208,890
2102325,1504208,227
2109908,1504208,5298
2111300,1504208,15568
2111532,1504208,123
2112902,1504208,465
1504208,1505536,15088
2100055,1505536,7225
2100402,1505536,1028
2100477,1505536,10543
2101004,1505536,2303
2102036,1505536,3444
2102325,1505536,1171
2109908,1505536,20397
2111300,1505536,27118
2111532,1505536,540
2112902,1505536,2819
1504208,2100055,1676
1505536,2100055,8883
2100402,2100055,141
2100477,2100055,1489
2101004,2100055,108
2102036,2100055,36
2102325,2100055,149
2109908,2100055,4225
2111300,2100055,6419
2111532,2100055,72
2112902,2100055,283
1504208,2100402,122
1505536,2100402,1064
2100055,2100402,120
2100477,2100402,10
2101004,2100402,431
2102036,2100402,356
2102325,2100402,331
2109908,2100402,758
2111300,2100402,1033
2111532,2100402,252
2112902,2100402,198
1504208,2100477,1968
1505536,2100477,17233
2100055,2100477,1312
2100402,2100477,167
2101004,2100477,31
2102036,2100477,331
2102325,2100477,20
2109908,2100477,3295
2111300,2100477,4366
2111532,2100477,36
2112902,2100477,92
1504208,2101004,414
1505536,2101004,2360
2100055,2101004,90
2100402,2101004,498
2100477,2101004,196
2102036,2101004,507
2102325,2101004,460
2109908,2101004,1727
2111300,2101004,2882
2111532,2101004,358
2112902,2101004,214
1504208,2102036,543
1505536,2102036,2695
2100055,2102036,14
2100402,2102036,0
2100477,2102036,339
2101004,2102036,519
2102325,2102036,350
2109908,2102036,2411
2111300,2102036,3184
2111532,2102036,347
2112902,2102036,1336
1504208,2102325,155
1505536,2102325,1243
2100055,2102325,128
2100402,2102325,335
2100477,2102325,26
2101004,2102325,443
2102036,2102325,642
2109908,2102325,899
2111300,2102325,1170
2111532,2102325,284
2112902,2102325,44
1504208,2109908,3339
1505536,2109908,11533
2100055,2109908,4844
2100402,2109908,835
2100477,2109908,6684
2101004,2109908,1945
2102036,2109908,2540
2102325,2109908,960
2111300,2109908,32824
2111532,2109908,636
2112902,2109908,2048
1504208,2111300,13884
1505536,2111300,31708
2100055,2111300,8983
2100402,2111300,1213
2100477,2111300,10392
2101004,2111300,3128
2102036,2111300,3992
2102325,2111300,1381
2109908,2111300,25257
2111532,2111300,941
2112902,2111300,2120
1504208,2111532,72
1505536,2111532,754
2100055,2111532,54
2100402,2111532,255
2100477,2111532,3
2101004,2111532,336
2102036,2111532,297
2102325,2111532,278
2109908,2111532,574
2111300,2111532,762
2112902,2111532,47
1504208,2112902,304
1505536,2112902,1592
2100055,2112902,121
2100402,2112902,436
2100477,2112902,161
2101004,2112902,298
2102036,2112902,533
2102325,2112902,477
2109908,2112902,2209
2111300,2112902,2462
2111532,2112902,369
3103009,3101102,0
3105400,3101102,440
3106200,3101102,4746
3106309,3101102,1
3118403,3101102,509
3127701,3101102,2108
3131307,3101102,2131
3131703,3101102,171
3136207,3101102,109
3144706,3101102,9
3149952,3101102,0
3154309,3101102,1477
3155702,3101102,115
3158953,3101102,0
3168705,3101102,727
3169505,3101102,91
3200805,3101102,267
3201308,3101102,4498
3201506,3101102,307
3202207,3101102,1582
3202504,3101102,2
3203130,3101102,20
3101102,3103009,0
3105400,3103009,0
3106200,3103009,1815
3106309,3103009,0
3118403,3103009,0
3127701,3103009,430
3131307,3103009,175
3131703,3103009,0
3136207,3103009,0
3144706,3103009,0
3149952,3103009,0
3154309,3103009,0
3155702,3103009,0
3158953,3103009,0
3168705,3103009,0
3169505,3103009,0
3200805,3103009,0
3201308,3103009,1848
3201506,3103009,0
3202207,3103009,0
3202504,3103009,0
3203130,3103009,0
3101102,3105400,569
3103009,3105400,0
3106200,3105400,10218
3106309,3105400,0
3118403,3105400,563
3127701,3105400,4325
3131307,3105400,3400
3131703,3105400,226
3136207,3105400,60
3144706,3105400,2
3149952,3105400,0
3154309,3105400,1751
3155702,3105400,37
3158953,3105400,0
3168705,3105400,1106
3169505,3105400,87
3200805,3105400,508
3201308,3105400,9570
3201506,3105400,1379
3202207,3105400,413
3202504,3105400,42
3203130,3105400,24
3101102,3106200,4808
3103009,3106200,1527
3105400,3106200,4498
3106309,3106200,2107
3118403,3106200,4955
3127701,3106200,13788
3131307,3106200,22110
3131703,3106200,3135
3136207,3106200,2847
3144706,3106200,2350
3149952,3106200,1772
3154309,3106200,8760
3155702,3106200,2756
3158953,3106200,1369
3168705,3106200,7237
3169505,3106200,2775
3200805,3106200,4164
3201308,3106200,51247
3201506,3106200,6672
3202207,3106200,2
3202504,3106200,1036
3203130,3106200,2293
3101102,3106309,0
3103009,3106309,0
3105400,3106309,0
3106200,3106309,2360
3118403,3106309,0
3127701,3106309,770
3131307,3106309,754
3131703,3106309,0
3136207,3106309,0
3144706,3106309,0
3149952,3106309,0
3154309,3106309,0
3155702,3106309,0
3158953,3106309,0
3168705,3106309,0
3169505,3106309,0
3200805,3106309,0
3201308,3106309,2439
3201506,3106309,0
3202207,3106309,0
3202504,3106309,0
3203130,3106309,0
3101102,3118403,274
3103009,3118403,0
3105400,3118403,283
3106200,3118403,5544
3106309,3118403,3
3127701,3118403,2417
3131307,3118403,2284
3131703,3118403,36
3136207,3118403,35
3144706,3118403,12
3149952,3118403,0
3154309,3118403,800
3155702,3118403,15
3158953,3118403,0
3168705,3118403,615
3169505,3118403,30
3200805,3118403,98
3201308,3118403,5574
3201506,3118403,623
3202207,3118403,551
3202504,3118403,24
3203130,3118403,53
3101102,3127701,2669
3103009,3127701,555
3105400,3127701,2385
3106200,3127701,10206
3106309,3127701,951
3118403,3127701,2682
3131307,3127701,4875
3131703,3127701,1571
3136207,3127701,1378
3144706,3127701,1086
3149952,3127701,193
3154309,3127701,4104
3155702,3127701,1362
3158953,3127701,300
3168705,3127701,3395
3169505,3127701,1453
3200805,3127701,2242
3201308,3127701,29428
3201506,3127701,3523
3202207,3127701,101
3202504,3127701,2641
3203130,3127701,1118
3101102,3131307,2071
3103009,3131307,129
3105400,3131307,1945
3106200,3131307,34269
3106309,3131307,296
3118403,3131307,2147
3127701,3131307,94
3131703,3131307,1096
3136207,3131307,931
3144706,3131307,676
3149952,3131307,414
3154309,3131307,4057
3155702,3131307,924
3158953,3131307,21
3168705,3131307,3478
3169505,3131307,922
3200805,3131307,1658
3201308,3131307,9622
3201506,3131307,3163
3202207,3131307,1005
3202504,3131307,706
3203130,3131307,602
3101102,3131703,62
3103009,3131703,0
3105400,3131703,51
3106200,3131703,4923
3106309,3131703,1
3118403,3131703,127
3127701,3131703,1980
3131307,3131703,1953
3136207,3131703,147
3144706,3131703,21
3149952,3131703,0
3154309,3131703,660
3155702,3131703,115
3158953,3131703,0
3168705,3131703,417
3169505,3131703,133
3200805,3131703,47
3201308,3131703,4931
3201506,3131703,161
3202207,3131703,165
3202504,3131703,152
3203130,3131703,58
3101102,3136207,3
3103009,3136207,0
3105400,3136207,106
3106200,3136207,3297
3106309,3136207,0
3118403,3136207,157
3127701,3136207,1067
3131307,3136207,1157
3131703,3136207,76
3144706,3136207,0
3149952,3136207,0
3154309,3136207,154
3155702,3136207,0
3158953,3136207,0
3168705,3136207,18
3169505,3136207,1
3200805,3136207,120
3201308,3136207,3171
3201506,3136207,0
3202207,3136207,0
3202504,3136207,0
3203130,3136207,0
3101102,3144706,5
3103009,3144706,0
3105400,3144706,52
3106200,3144706,2619
3106309,3144706,0
3118403,3144706,72
3127701,3144706,883
3131307,3144706,287
3131703,3144706,0
3136207,3144706,0
3149952,3144706,0
3154309,3144706,93
3155702,3144706,0
3158953,3144706,0
3168705,3144706,0
3169505,3144706,0
3200805,3144706,17
3201308,3144706,2671
3201506,3144706,0
3202207,3144706,0
3202504,3144706,0
3203130,3144706,0
3101102,3149952,0
3103009,3149952,0
3105400,3149952,0
3106200,3149952,2189
3106309,3149952,0
3118403,3149952,0
3127701,3149952,631
3131307,3149952,640
3131703,3149952,0
3136207,3149952,0
3144706,3149952,0
3154309,3149952,0
3155702,3149952,0
3158953,3149952,0
3168705,3149952,0
3169505,3149952,0
3200805,3149952,0
3201308,3149952,2222
3201506,3149952,0
3202207,3149952,0
3202504,3149952,0
3203130,3149952,0
3101102,3154309,798
3103009,3154309,0
3105400,3154309,491
3106200,3154309,9901
3106309,3154309,19
3118403,3154309,567
3127701,3154309,4406
3131307,3154309,3374
3131703,3154309,130
3136207,3154309,63
3144706,3154309,14
3149952,3154309,2
3155702,3154309,70
3158953,3154309,0
3168705,3154309,1123
3169505,3154309,61
3200805,3154309,228
3201308,3154309,9625
3201506,3154309,980
3202207,3154309,1231
3202504,3154309,53
3203130,3154309,78
3101102,3155702,69
3103009,3155702,0
3105400,3155702,93
3106200,3155702,3144
3106309,3155702,0
3118403,3155702,102
3127701,3155702,1046
3131307,3155702,1161
3131703,3155702,3
3136207,3155702,0
3144706,3155702,0
3149952,3155702,0
3154309,3155702,190
3158953,3155702,0
3168705,3155702,28
3169505,3155702,0
3200805,3155702,68
3201308,3155702,3072
3201506,3155702,0
3202207,3155702,1
3202504,3155702,0
3203130,3155702,0
3101102,3158953,0
3103009,3158953,0
3105400,3158953,0
3106200,3158953,1611
3106309,3158953,0
3118403,3158953,0
3127701,3158953,335
3131307,3158953,86
3131703,3158953,0
3136207,3158953,0
3144706,3158953,0
3149952,3158953,0
3154309,3158953,0
3155702,3158953,0
3168705,3158953,0
3169505,3158953,0
3200805,3158953,0
3201308,3158953,1622
3201506,3158953,0
3202207,3158953,0
3202504,3158953,0
3203130,3158953,0
3101102,3168705,439
3103009,3168705,0
3105400,3168705,434
3106200,3168705,7310
3106309,3168705,0
3118403,3168705,604
3127701,3168705,3519
3131307,3168705,4990
3131703,3168705,75
3136207,3168705,2
3144706,3168705,0
3149952,3168705,0
3154309,3168705,1119
3155702,3168705,1
3158953,3168705,0
3169505,3168705,6
3200805,3168705,181
3201308,3168705,7906
3201506,3168705,75
3202207,3168705,29
3202504,3168705,0
3203130,3168705,0
3101102,3169505,188
3103009,3169505,0
3105400,3169505,193
3106200,3169505,2706
3106309,3169505,0
3118403,3169505,230
3127701,3169505,887
3131307,3169505,898
3131703,3169505,157
3136207,3169505,47
3144706,3169505,0
3149952,3169505,0
3154309,3169505,15
3155702,3169505,21
3158953,3169505,0
3168705,3169505,69
3200805,3169505,207
3201308,3169505,2787
3201506,3169505,36
3202207,3169505,217
3202504,3169505,0
3203130,3169505,0
3101102,3200805,207
3103009,3200805,0
3105400,3200805,257
3106200,3200805,3896
3106309,3200805,210
3118403,3200805,168
3127701,3200805,1387
3131307,3200805,1365
3131703,3200805,298
3136207,3200805,298
3144706,3200805,219
3149952,3200805,23
3154309,3200805,232
3155702,3200805,288
3158953,3200805,0
3168705,3200805,66
3169505,3200805,308
3201308,3200805,3884
3201506,3200805,561
3202207,3200805,1006
3202504,3200805,2
3203130,3200805,223
3101102,3201308,5255
3103009,3201308,1741
3105400,3201308,5086
3106200,3201308,44927
3106309,3201308,2324
