CD_MUN;NM_MUN;CD_RGI;NM_RGI;CD_RGINT;NM_RGINT;CD_UF;NM_UF;SIGLA_UF;CD_REGIA;NM_REGIA;SIGLA_RG;CD_CONCU;NM_CONCU;AREA_KM2;idMunicipio;codigo;nome;uf;UTP;SEDE;1.CAPITAL;2.classificacao REGIC;3.CLASSIFICACAO_TURISTICA_2019;4.SOMA_BIGADATA;POP2017;PIBREAL2017;5.POPPIB
1507953;Tailândia;150003;Abaetetuba;1501;Belém;15;Pará;PA;1;Norte;N;;;4430,477;282;1507953;TAILÂNDIA;PA;1;0;0;5;D;10.346;103321;846500,6873;875
1500107;Abaetetuba;150003;Abaetetuba;1501;Belém;15;Pará;PA;1;Norte;N;1500107;Abaetetuba;1610,646;152;1500107;ABAETETUBA;PA;1;1;0;3B;Sem Dados;13.905;153380;1337194,448;2.051
1503309;Igarapé-Miri;150003;Abaetetuba;1501;Belém;15;Pará;PA;1;Norte;N;;;1996,798;205;1503309;IGARAPÉ-MIRI;PA;1;0;0;5;Sem Dados;2.759;60994;376722,1217;230
1504703;Moju;150003;Abaetetuba;1501;Belém;15;Pará;PA;1;Norte;N;;;9094,139;224;1504703;MOJU;PA;1;0;0;5;Sem Dados;5.556;79825;892438,7105;712
2112001;Tasso Fragoso;210022;Balsas;2105;Imperatriz;21;Maranhão;MA;2;Nordeste;NE;;;4369,316;652;2112001;TASSO FRAGOSO;MA;10;1;0;5;D;-;8455;984544,6733;83
2209203;Santa Filomena;220015;Corrente;2205;Corrente - Bom Jesus;22;Piauí;PI;2;Nordeste;NE;;;5293,693;844;2209203;SANTA FILOMENA;PI;10;0;0;6;Sem Dados;-;6156;213166,7669;13
2100501;Alto Parnaíba;210022;Balsas;2105;Imperatriz;21;Maranhão;MA;2;Nordeste;NE;;;11127,384;459;2100501;ALTO PARNAÍBA;MA;10;0;0;5;D;-;11001;287919,1621;32
4125506;São José dos Pinhais;410001;Curitiba;4101;Curitiba;41;Paraná;PR;4;Sul;S;4106902;Curitiba/PR;946,049;4262;4125506;SÃO JOSÉ DOS PINHAIS;PR;100;0;0;6;B;189.850;307530;22581192,9;69.444
4104204;Campo Largo;410001;Curitiba;4101;Curitiba;41;Paraná;PR;4;Sul;S;4106902;Curitiba/PR;1243,787;3971;4104204;CAMPO LARGO;PR;100;0;0;6;C;16.935;127309;4151593,594;5.285
4104253;Campo Magro;410001;Curitiba;4101;Curitiba;41;Paraná;PR;4;Sul;S;4106902;Curitiba/PR;275,352;3972;4104253;CAMPO MAGRO;PR;100;0;0;6;D;1.455;28244;416624,702;118
4122206;Rio Branco do Sul;410001;Curitiba;4101;Curitiba;41;Paraná;PR;4;Sul;S;4106902;Curitiba/PR;811,425;4221;4122206;RIO BRANCO DO SUL;PR;100;0;0;6;Sem Dados;1.595;32504;1062844,07;345
4100400;Almirante Tamandaré;410001;Curitiba;4101;Curitiba;41;Paraná;PR;4;Sul;S;4106902;Curitiba/PR;194,228;3916;4100400;ALMIRANTE TAMANDARÉ;PR;100;0;0;6;D;4.717;115364;1522885,555;1.757
4105201;Cerro Azul;410001;Curitiba;4101;Curitiba;41;Paraná;PR;4;Sul;S;;;1341,189;3985;4105201;CERRO AZUL;PR;100;0;0;5;Sem Dados;-;17885;319076,0906;57
4104006;Campina Grande do Sul;410001;Curitiba;4101;Curitiba;41;Paraná;PR;4;Sul;S;4106902;Curitiba/PR;539,245;3968;4104006;CAMPINA GRANDE DO SUL;PR;100;0;0;6;C;8.380;42547;1482914,417;631
4101804;Araucária;410001;Curitiba;4101;Curitiba;41;Paraná;PR;4;Sul;S;4106902;Curitiba/PR;469,24;3934;4101804;ARAUCÁRIA;PR;100;0;0;6;C;18.740;137452;16972344,79;23.329
4127601;Tijucas do Sul;410001;Curitiba;4101;Curitiba;41;Paraná;PR;4;Sul;S;;;671,889;4290;4127601;TIJUCAS DO SUL;PR;100;0;0;5;D;3.617;16348;305938,4338;50
4105805;Colombo;410001;Curitiba;4101;Curitiba;41;Paraná;PR;4;Sul;S;4106902;Curitiba/PR;197,58;3991;4105805;COLOMBO;PR;100;0;0;6;C;23.406;237402;4733738,904;11.238
4107652;Fazenda Rio Grande;410001;Curitiba;4101;Curitiba;41;Paraná;PR;4;Sul;S;4106902;Curitiba/PR;116,678;4021;4107652;FAZENDA RIO GRANDE;PR;100;0;0;6;D;6.306;95225;2381558,205;2.268
