sede_origem,utp_origem,sede_destino,utp_destino,tempo_viagem_h,score_origem,score_destino,rm_origem,rm_destino,status,transitive,transitive_reason,motivo_rejeicao
1502707,478,1506138.0,662,1.286131352,0,0,,,APROVADO,NAO,,
1505106,616,1505304.0,618,1.32,0,1,,,APROVADO,NAO,,
2100055,2,2105302.0,128,1.041388434,0,2,Recorte Metropolitano do Sudoeste Maranhense,Recorte Metropolitano do Sudoeste Maranhense,APROVADO,NAO,,
2110203,273,2111300.0,314,1.176281122,0,2,Recorte Metropolitano da Grande São Luís,Recorte Metropolitano da Grande São Luís,APROVADO,NAO,,
2200251,444,2208007.0,255,1.554054762,0,0,,,APROVADO,NAO,,
2302602,435,2307254.0,557,1.948405084,0,1,,,APROVADO,NAO,,
2303501,279,2304400.0,111,1.087769063,0,2,Recorte Metropolitano de Fortaleza,Recorte Metropolitano de Fortaleza,APROVADO,NAO,,
2407401,755,2409407.0,631,1.060161768,0,1,,,APROVADO,NAO,,
2612604,683,2611101.0,253,1.468983896,0,2,Recorte Metropolitano do Polo Petrolina/PE e Juazeiro/BA,Recorte Metropolitano do Polo Petrolina/PE e Juazeiro/BA,APROVADO,NAO,,
2707305,NOVA3,2704500.0,209,0.426229179,0,1,,,APROVADO,NAO,,
2905008,431,2911709.0,520,1.75701804,0,1,,,APROVADO,NAO,,
2905206,432,2911709.0,520,0.639161351,0,1,,,APROVADO,NAO,,
2910404,501,2933307.0,362,1.49290488,0,2,,,APROVADO,NAO,,
2914802,159,2913606.0,126,0.587222335,0,2,,,APROVADO,NAO,,
2929255,699,2914604.0,538,0.204835869,0,0,,,APROVADO,NAO,,
3108552,413,3136306.0,558,1.440615476,0,0,,,APROVADO,NAO,,
3136306,558,3147006.0,625,1.396492904,0,2,,,APROVADO,NAO,,
3138609,322,3136702.0,189,0.945237885,0,1,,,APROVADO,NAO,,
3146305,76,3168606.0,335,1.499471662,0,2,,,APROVADO,NAO,,
4301305,16,4314407.0,251,1.441707534,0,2,,,APROVADO,NAO,,
3150570,97,3161106.0,197,1.747965012,0,0,,,APROVADO,NAO,,
3306107,356,3306305.0,364,1.051526777,0,1,,,APROVADO,NAO,,
3503802,31,3509502.0,NOVA15,0.661627173,0,2,Recorte Metropolitano de Campinas,Recorte Metropolitano de Campinas,APROVADO,NAO,,
3534302,707,3543402.0,281,0.739717976,0,2,Recorte Metropolitano de Ribeirão Preto,Recorte Metropolitano de Ribeirão Preto,APROVADO,NAO,,
3539202,258,3541406.0,274,0.468090913,0,2,,,APROVADO,NAO,,
3550100,712,3507506.0,50,0.390549527,0,1,,,APROVADO,NAO,,
4102406,402,4106407.0,481,0.552988975,0,1,,,APROVADO,NAO,,
4211751,229,4209300.0,191,0.801578554,0,1,Recorte Metropolitano de Lages,Recorte Metropolitano de Lages,APROVADO,NAO,,
4212908,304,4204202.0,88,0.863338415,0,2,Recorte Metropolitano de Chapecó,Recorte Metropolitano de Chapecó,APROVADO,NAO,,
4304705,454,4314100.0,240,0.747803115,0,2,,,APROVADO,NAO,,
4310603,144,4322400.0,156,1.602106608,0,2,,,APROVADO,NAO,,
4312401,596,4314902.0,267,0.81536076,0,2,Recorte Metropolitano de Porto Alegre,Recorte Metropolitano de Porto Alegre,APROVADO,NAO,,
4317202,687,4317509.0,299,0.799256809,0,2,,,APROVADO,NAO,,
5000609,380,5006606.0,148,1.6642702,0,2,,,APROVADO,NAO,,
5001003,386,3546603.0,294,0.505880392,0,1,,,APROVADO,NAO,,
5005400,580,5006606.0,148,1.970344533,0,2,,,APROVADO,NAO,,
5100201,612,5102702.0,784,1.256631694,0,1,,,APROVADO,NAO,,
5103007,464,5103403.0,98,1.693232382,0,2,Recorte Metropolitano do Vale do Rio Cuiabá,Recorte Metropolitano do Vale do Rio Cuiabá,APROVADO,NAO,,
5210109,536,5217401.0,642,0.833984095,0,0,,,APROVADO,NAO,,
5219308,680,5218805.0,287,0.555721325,0,2,,,APROVADO,NAO,,
2601607,409,2603009.0,366,0.780812424,0,0,,,APROVADO,NAO,,
4300406,372,4316402.0,672,1.550659128,0,0,,,APROVADO,NAO,,
4302808,427,4319604.0,717,0.617702483,0,0,,,APROVADO,NAO,,
1100049,430,1100189.0,638,0.654877573,1,0,,,REJEITADO,NAO,,"Origem tem score 1, mas só score=0 pode consolidar"
1400100,47,1400209.0,451,,,,Recorte Metropolitano de Boa Vista,Recorte Metropolitano de Central,REJEITADO,NAO,,RM incompatível: 'Recorte Metropolitano de Boa Vista' != 'Recorte Metropolitano de Central'
1501808,420,1505809.0,649,1.0,1,0,,,REJEITADO,NAO,,"Origem tem score 1, mas só score=0 pode consolidar"
1505304,618,1505106.0,616,1.29,1,0,,,REJEITADO,NAO,,"Origem tem score 1, mas só score=0 pode consolidar"
1702109,20,1722107.0,307,1.713865297,0,0,,,REJEITADO,NAO,,"Ambos score=0, mas destino REGIC pior/igual (rank 10 >= 6)"
2100204,371,2111300.0,314,,,,,,REJEITADO,NAO,,UTPs não são adjacentes
2103000,85,2211001.0,336,,,,Recorte Metropolitano da Zona Leste do Estado do Maranhão,Recorte Metropolitano da Grande Teresina,REJEITADO,NAO,,RM incompatível: 'Recorte Metropolitano da Zona Leste do Estado do Maranhão' != 'Recorte Metropolitano da Grande Teresina'
2103208,419,2112704.0,745,1.137150147,0,0,,,REJEITADO,NAO,,"Ambos score=0, mas destino REGIC pior/igual (rank 11 >= 8)"
2104800,518,2111805.0,724,,,,,Recorte Metropolitano do Sudoeste Maranhense,REJEITADO,NAO,,RM incompatível: '' != 'Recorte Metropolitano do Sudoeste Maranhense'
2107100,219,2111300.0,314,,,,,,REJEITADO,NAO,,UTPs não são adjacentes
2202208,439,2211001.0,336,,,,,Recorte Metropolitano da Grande Teresina,REJEITADO,NAO,,RM incompatível: '' != 'Recorte Metropolitano da Grande Teresina'
2206209,473,2211001.0,336,,,,,Recorte Metropolitano da Grande Teresina,REJEITADO,NAO,,RM incompatível: '' != 'Recorte Metropolitano da Grande Teresina'
2210508,15,2211001.0,336,,,,,Recorte Metropolitano da Grande Teresina,REJEITADO,NAO,,RM incompatível: '' != 'Recorte Metropolitano da Grande Teresina'
2307601,319,2311801.0,674,0.729788416,0,0,,,REJEITADO,NAO,,"Ambos score=0, mas destino REGIC pior/igual (rank 8 >= 8)"
2305803,693,2309300.0,728,0.932937101,0,0,,,REJEITADO,NAO,,"Ambos score=0, mas destino REGIC pior/igual (rank 11 >= 10)"
2311603,NOVA25,2304400.0,111,,,,,Recorte Metropolitano de Fortaleza,REJEITADO,NAO,,RM incompatível: '' != 'Recorte Metropolitano de Fortaleza'
2311801,674,2307601.0,319,0.729788416,0,0,,,REJEITADO,NAO,,"Ambos score=0, mas destino REGIC pior/igual (rank 8 >= 8)"
2312205,685,2312908.0,325,,,,,Recorte Metropolitano de Sobral,REJEITADO,NAO,,RM incompatível: '' != 'Recorte Metropolitano de Sobral'
2500403,6,2504009.0,65,,,,Recorte Metropolitano de Esperança,Recorte Metropolitano de Campina Grande,REJEITADO,NAO,,RM incompatível: 'Recorte Metropolitano de Esperança' != 'Recorte Metropolitano de Campina Grande'
2506301,119,2507507.0,185,,,,Recorte Metropolitano de Guarabira,Recorte Metropolitano de João Pessoa,REJEITADO,NAO,,RM incompatível: 'Recorte Metropolitano de Guarabira' != 'Recorte Metropolitano de João Pessoa'
2506905,NOVA4,2507507.0,185,,,,Recorte Metropolitano de Itabaiana,Recorte Metropolitano de João Pessoa,REJEITADO,NAO,,RM incompatível: 'Recorte Metropolitano de Itabaiana' != 'Recorte Metropolitano de João Pessoa'
2512747,NOVA23,2505709.0,326,0.451219872,0,0,Recorte Metropolitano de Araruna,Recorte Metropolitano de Araruna,REJEITADO,NAO,,"Ambos score=0, mas destino REGIC pior/igual (rank 11 >= 11)"
2516508,560,2504009.0,65,,,,,Recorte Metropolitano de Campina Grande,REJEITADO,NAO,,RM incompatível: '' != 'Recorte Metropolitano de Campina Grande'
2600203,368,2611101.0,253,,,,,Recorte Metropolitano do Polo Petrolina/PE e Juazeiro/BA,REJEITADO,NAO,,RM incompatível: '' != 'Recorte Metropolitano do Polo Petrolina/PE e Juazeiro/BA'
2702306,252,2704302.0,203,,,,,Recorte Metropolitano de Maceió,REJEITADO,NAO,,RM incompatível: '' != 'Recorte Metropolitano de Maceió'
2709301,NOVA2,2704302.0,203,,,,,Recorte Metropolitano de Maceió,REJEITADO,NAO,,RM incompatível: '' != 'Recorte Metropolitano de Maceió'
