utp_id;cd_mun;nm_mun
395;1100403;1100403
395;1100262;1100262
395;1101609;1101609
395;1100023;1100023
395;1100940;1100940
395;1101401;1101401
395;1101005;1101005
395;1100601;1100601
395;1101104;1101104
639;1100031;1100031
639;1101468;1101468
430;1101203;1101203
430;1100049;1100049
463;1100056;1100056
463;1100064;1100064
463;1100072;1100072
143;1100338;1100338
143;1100106;1100106
182;1101807;1101807
182;1100155;1100155
182;1100254;1100254
182;1101559;1101559
182;1100122;1100122
182;1100114;1100114
182;1101435;1101435
182;5107578;5107578
576;1101757;1101757
576;1100130;1100130
638;1101476;1101476
638;1101484;1101484
638;1100189;1100189
638;1100098;1100098
638;1101450;1101450
269;1100205;1100205
269;1100809;1100809
670;1100502;1100502
670;1100148;1100148
670;1100288;1100288
670;1100296;1100296
670;1100379;1100379
670;1100015;1100015
670;1100908;1100908
759;1100304;1100304
759;5103304;5103304
759;1100924;1100924
759;5102686;5102686
379;1101708;1101708
379;1101492;1101492
379;1101500;1101500
379;1100320;1100320
379;1100346;1100346
379;1101302;1101302
425;1100452;1100452
425;1100700;1100700
137;1200708;1200708
137;1200104;1200104
137;1200252;1200252
492;1301654;1301654
492;1301803;1301803
492;1200336;1200336
492;1200427;1200427
492;1200203;1200203
282;1200344;1200344
282;1200385;1200385
282;1200401;1200401
282;1200435;1200435
282;1200500;1200500
282;1200138;1200138
282;1200179;1200179
282;1200807;1200807
282;1200013;1200013
282;1200450;1200450
731;1200609;1200609
731;1200328;1200328
406;1300508;1300508
406;1300680;1300680
385;1300102;1300102
385;1300631;1300631
385;1304104;1304104
385;1300086;1300086
472;1300839;1300839
472;1301308;1301308
500;1301407;1301407
500;1301506;1301506
500;1301951;1301951
540;1304005;1304005
540;1302009;1302009
540;1301902;1301902
567;1300904;1300904
567;1302405;1302405
206;1301159;1301159
206;1303569;1303569
206;1303205;1303205
206;1302504;1302504
206;1302553;1302553
206;1302603;1302603
206;1301852;1301852
206;1301100;1301100
223;1503002;1503002
223;1303007;1303007
692;1303700;1303700
692;1304237;1304237
155;1304062;1304062
155;1300201;1300201
155;1300607;1300607
734;1304203;1304203
734;1300029;1300029
748;1304302;1304302
748;1303957;1303957
748;1304401;1304401
47;1400100;1400100
47;1400175;1400175
47;1400308;1400308
451;1400209;1400209
451;1400282;1400282
621;1400027;1400027
621;1400704;1400704
621;1400456;1400456
671;1400233;1400233
671;1400506;1400506
671;1400605;1400605
671;1400472;1400472
1;1507953;1507953
1;1500107;1500107
1;1503309;1503309
1;1504703;1504703
375;1500859;1500859
375;1504455;1504455
375;1500602;1500602
375;1508357;1508357
375;1507805;1507805
375;1501725;1501725
41;1501402;1501402
41;1506351;1506351
41;1501501;1501501
41;1500800;1500800
41;1501303;1501303
41;1504422;1504422
41;1502400;1502400
41;1506500;1506500
52;1502202;1502202
52;1500909;1500909
52;1506906;1506906
52;1503077;1503077
52;1506104;1506104
52;1506112;1506112
52;1502301;1502301
52;1505403;1505403
52;1508035;1508035
52;1501709;1501709
52;1506559;1506559
420;1501808;1501808
420;1501105;1501105
64;1505205;1505205
64;1504000;1504000
64;1504604;1504604
64;1502103;1502103
467;1600253;1600253
467;1502509;1502509
478;1502707;1502707
478;1711803;1711803
