Municipio_ID,Municipio_Nome,UTP_Origem,UTP_Destino,Motivo,Pontuacao_Scores,E_Sede_Original,Timestamp
1100189,Pimenta Bueno,638,759,0/1: Target has Airport,0/1,True,2026-01-26T14:45:47.049516
1502707,Conceição do Araguaia,478,662,0/0: REGIC Priority (Centro Sub-Regional A > Centro de Zona A),0/0,True,2026-01-26T14:45:47.064377
1600709,Tartarugalzinho,732,202,0/2: Target has Airport,0/2,True,2026-01-26T14:45:47.112484
1600238,Ferreira Gomes,732,202,0/2: Target has Airport,0/2,False,2026-01-26T14:45:47.114264
1720903,Taguatinga,727,38,0/0: REGIC Priority (Centro Sub-Regional B > Centro Local),0/0,True,2026-01-26T14:45:47.518384
2100055,Açailândia,2,128,0/2: Target has Airport,0/2,True,2026-01-26T14:45:47.828332
2103000,Caxias,85,336,0/2: Target has Airport,0/2,True,2026-01-26T14:45:47.885842
2112506,Tutóia,239,407,0/1: Target has Airport,0/1,True,2026-01-26T14:45:47.947125
2200251,Alagoinha do Piauí,444,255,0/0: REGIC Priority (Centro Sub-Regional A > Centro Local),0/0,True,2026-01-26T14:45:47.950779
2202208,Campo Maior,439,336,0/2: Target has Airport,0/2,True,2026-01-26T14:45:47.971986
2206209,Miguel Alves,473,336,0/2: Target has Airport,0/2,True,2026-01-26T14:45:47.978151
2210508,São Pedro do Piauí,15,336,0/2: Target has Airport,0/2,True,2026-01-26T14:45:47.981769
2303501,Cascavel,279,111,0/2: Target has Airport,0/2,True,2026-01-26T14:45:47.997172
2311603,Redenção,NOVA25,111,0/2: Target has Airport,0/2,True,2026-01-26T14:45:48.004576
2312205,Santa Quitéria,685,325,0/2: Target has Airport,0/2,True,2026-01-26T14:45:48.092455
2500403,Alagoa Nova,6,65,0/2: Target has Airport,0/2,True,2026-01-26T14:45:48.110944
2506905,Itabaiana,NOVA4,185,0/2: Target has Airport,0/2,True,2026-01-26T14:45:48.130286
2511509,Pilar,NOVA4,185,0/2: Target has Airport,0/2,False,2026-01-26T14:45:48.133383
2600203,Afrânio,368,253,0/2: Target has Airport,0/2,True,2026-01-26T14:45:48.157373
2603009,Cabrobó,366,675,0/0: REGIC Priority (Centro Sub-Regional B > Centro Local),0/0,True,2026-01-26T14:45:48.184210
2612604,Santa Maria da Boa Vista,683,253,0/2: Target has Airport,0/2,True,2026-01-26T14:45:48.198232
2709301,União dos Palmares,NOVA2,203,0/2: Target has Airport,0/2,True,2026-01-26T14:45:48.238131
2709400,Viçosa,NOVA20,203,0/2: Target has Airport,0/2,True,2026-01-26T14:45:48.250191
2901304,Andaraí,602,623,0/1: Target has Airport,0/1,True,2026-01-26T14:45:48.281415
2905008,Caculé,431,520,0/1: Target has Airport,0/1,True,2026-01-26T14:45:48.294903
2905206,Caetité,432,520,0/1: Target has Airport,0/1,True,2026-01-26T14:45:48.339019
2908101,Cocos,471,591,0/0: REGIC Priority (Centro de Zona B > Centro Local),0/0,True,2026-01-26T14:45:48.478829
2910404,Encruzilhada,501,362,0/2: Target has Airport,0/2,True,2026-01-26T14:45:48.508041
2914802,Itabuna,159,126,0/2: Target has Airport,0/2,True,2026-01-26T14:45:48.539368
2929255,São Gabriel,699,538,0/0: REGIC Priority (Centro Sub-Regional A > Centro Local),0/0,True,2026-01-26T14:45:48.558315
2933208,Vera Cruz,360,291,0/2: Target has Airport,0/2,True,2026-01-26T14:45:48.565341
3108552,Brasilândia de Minas,413,558,0/0: REGIC Priority (Centro de Zona A > Centro Local),0/0,True,2026-01-26T14:45:48.641809
3146305,Padre Paraíso,76,335,0/2: Target has Airport,0/2,True,2026-01-26T14:45:48.664082
3113008,Caraí,76,335,0/2: Target has Airport,0/2,False,2026-01-26T14:45:48.665944
4301305,Arroio Grande,16,251,0/2: Target has Airport,0/2,True,2026-01-26T14:45:48.764851
3150570,Pintópolis,97,197,0/0: REGIC Priority (Centro de Zona B > Centro Local),0/0,True,2026-01-26T14:45:48.807162
3302106,Itaocara,163,300,0/0: REGIC Priority (Centro Sub-Regional B > Centro de Zona B),0/0,True,2026-01-26T14:45:48.913595
3503802,Artur Nogueira,31,NOVA15,0/2: Target has Airport,0/2,True,2026-01-26T14:45:48.924146
3534302,Orlândia,707,281,0/2: Target has Airport,0/2,True,2026-01-26T14:45:48.932915
3539202,Pirapozinho,258,274,0/2: Target has Airport,0/2,True,2026-01-26T14:45:48.974397
4212908,Pinhalzinho,304,88,0/2: Target has Airport,0/2,True,2026-01-26T14:45:48.994491
4302709,Butiá,502,267,0/2: Target has Airport,0/2,True,2026-01-26T14:45:49.002191
4304705,Carazinho,454,240,0/2: Target has Airport,0/2,True,2026-01-26T14:45:49.065085
4305454,Cidreira,90,267,0/2: Target has Airport,0/2,True,2026-01-26T14:45:49.072575
4304671,Capivari do Sul,90,267,0/2: Target has Airport,0/2,False,2026-01-26T14:45:49.074680
4310603,Itaqui,144,156,0/2: Target has Airport,0/2,True,2026-01-26T14:45:49.146235
4312401,Montenegro,596,267,0/2: Target has Airport,0/2,True,2026-01-26T14:45:49.167554
4312708,Nonoai,607,88,0/2: Target has Airport,0/2,True,2026-01-26T14:45:49.180461
4317202,Santa Rosa,687,299,0/2: Target has Airport,0/2,True,2026-01-26T14:45:49.195133
4309001,Giruá,687,299,0/2: Target has Airport,0/2,False,2026-01-26T14:45:49.197154
4319604,São Sepé,717,497,0/2: Target has Airport,0/2,True,2026-01-26T14:45:49.351302
5005400,Maracaju,580,148,0/2: Target has Airport,0/2,True,2026-01-26T14:45:50.066767
5005681,Mundo Novo,534,624,0/1: Target has Airport,0/1,True,2026-01-26T14:45:50.078153
5103007,Chapada dos Guimarães,464,98,0/2: Target has Airport,0/2,True,2026-01-26T14:45:50.237151
5200803,Alvorada do Norte,11,654,0/0: REGIC Priority (Centro de Zona A > Centro de Zona B),0/0,True,2026-01-26T14:45:50.399742
5205471,Chapadão do Céu,555,466,0/0: REGIC Priority (Centro de Zona B > Centro Local),0/0,True,2026-01-26T14:45:50.671957
5210109,Ipameri,536,642,0/0: REGIC Priority (Centro de Zona A > Centro Local),0/0,True,2026-01-26T14:45:51.098368
5213087,Minaçu,588,648,0/0: REGIC Priority (Centro de Zona A > Centro de Zona B),0/0,True,2026-01-26T14:45:51.275018
5219308,Santa Helena de Goiás,680,287,0/2: Target has Airport,0/2,True,2026-01-26T14:45:51.339043
1100189,Pimenta Bueno,759,759,0/1: Target has Airport,0/1,True,2026-01-26T14:46:13.950563
1502707,Conceição do Araguaia,662,662,0/0: REGIC Priority (Centro Sub-Regional A > Centro de Zona A),0/0,True,2026-01-26T14:46:13.966059
1600709,Tartarugalzinho,202,202,0/2: Target has Airport,0/2,True,2026-01-26T14:46:14.011207
1720903,Taguatinga,38,38,0/0: REGIC Priority (Centro Sub-Regional B > Centro Local),0/0,True,2026-01-26T14:46:14.416460
2100055,Açailândia,128,128,0/2: Target has Airport,0/2,True,2026-01-26T14:46:14.718803
2103000,Caxias,336,336,0/2: Target has Airport,0/2,True,2026-01-26T14:46:14.778242
2112506,Tutóia,407,407,0/1: Target has Airport,0/1,True,2026-01-26T14:46:14.840398
2200251,Alagoinha do Piauí,255,255,0/0: REGIC Priority (Centro Sub-Regional A > Centro Local),0/0,True,2026-01-26T14:46:14.845190
2202208,Campo Maior,336,336,0/2: Target has Airport,0/2,True,2026-01-26T14:46:14.867029
2206209,Miguel Alves,336,336,0/2: Target has Airport,0/2,True,2026-01-26T14:46:14.873897
2210508,São Pedro do Piauí,336,336,0/2: Target has Airport,0/2,True,2026-01-26T14:46:14.877927
2303501,Cascavel,111,111,0/2: Target has Airport,0/2,True,2026-01-26T14:46:14.893720
2311603,Redenção,111,111,0/2: Target has Airport,0/2,True,2026-01-26T14:46:14.901120
2312205,Santa Quitéria,325,325,0/2: Target has Airport,0/2,True,2026-01-26T14:46:14.990780
2500403,Alagoa Nova,65,65,0/2: Target has Airport,0/2,True,2026-01-26T14:46:15.011623
2506905,Itabaiana,185,185,0/2: Target has Airport,0/2,True,2026-01-26T14:46:15.028138
2600203,Afrânio,253,253,0/2: Target has Airport,0/2,True,2026-01-26T14:46:15.051658
2603009,Cabrobó,675,675,0/0: REGIC Priority (Centro Sub-Regional B > Centro Local),0/0,True,2026-01-26T14:46:15.079756
2612604,Santa Maria da Boa Vista,253,253,0/2: Target has Airport,0/2,True,2026-01-26T14:46:15.094674
2709301,União dos Palmares,203,203,0/2: Target has Airport,0/2,True,2026-01-26T14:46:15.133300
2709400,Viçosa,203,203,0/2: Target has Airport,0/2,True,2026-01-26T14:46:15.145528
2901304,Andaraí,623,623,0/1: Target has Airport,0/1,True,2026-01-26T14:46:15.174522
2905008,Caculé,520,520,0/1: Target has Airport,0/1,True,2026-01-26T14:46:15.188655
2905206,Caetité,520,520,0/1: Target has Airport,0/1,True,2026-01-26T14:46:15.231892
2908101,Cocos,591,591,0/0: REGIC Priority (Centro de Zona B > Centro Local),0/0,True,2026-01-26T14:46:15.370325
2910404,Encruzilhada,362,362,0/2: Target has Airport,0/2,True,2026-01-26T14:46:15.395946
2914802,Itabuna,126,126,0/2: Target has Airport,0/2,True,2026-01-26T14:46:15.425349
2929255,São Gabriel,538,538,0/0: REGIC Priority (Centro Sub-Regional A > Centro Local),0/0,True,2026-01-26T14:46:15.443179
2933208,Vera Cruz,291,291,0/2: Target has Airport,0/2,True,2026-01-26T14:46:15.450364
3108552,Brasilândia de Minas,558,558,0/0: REGIC Priority (Centro de Zona A > Centro Local),0/0,True,2026-01-26T14:46:15.523097
3146305,Padre Paraíso,335,335,0/2: Target has Airport,0/2,True,2026-01-26T14:46:15.544248
4301305,Arroio Grande,251,251,0/2: Target has Airport,0/2,True,2026-01-26T14:46:15.646597
3150570,Pintópolis,197,197,0/0: REGIC Priority (Centro de Zona B > Centro Local),0/0,True,2026-01-26T14:46:15.687753
3302106,Itaocara,300,300,0/0: REGIC Priority (Centro Sub-Regional B > Centro de Zona B),0/0,True,2026-01-26T14:46:15.793422
3503802,Artur Nogueira,NOVA15,NOVA15,0/2: Target has Airport,0/2,True,2026-01-26T14:46:15.804559
3534302,Orlândia,281,281,0/2: Target has Airport,0/2,True,2026-01-26T14:46:15.811217
3539202,Pirapozinho,274,274,0/2: Target has Airport,0/2,True,2026-01-26T14:46:15.848850
4212908,Pinhalzinho,88,88,0/2: Target has Airport,0/2,True,2026-01-26T14:46:15.870356
4302709,Butiá,267,267,0/2: Target has Airport,0/2,True,2026-01-26T14:46:15.879922
4304705,Carazinho,240,240,0/2: Target has Airport,0/2,True,2026-01-26T14:46:15.945033
4305454,Cidreira,267,267,0/2: Target has Airport,0/2,True,2026-01-26T14:46:15.951281
4310603,Itaqui,156,156,0/2: Target has Airport,0/2,True,2026-01-26T14:46:16.021338
4312401,Montenegro,267,267,0/2: Target has Airport,0/2,True,2026-01-26T14:46:16.042682
4312708,Nonoai,88,88,0/2: Target has Airport,0/2,True,2026-01-26T14:46:16.055374
4315057,Porto Mauá,687,299,0/0: REGIC Priority (Centro Sub-Regional A > Centro Local),0/0,True,2026-01-26T14:46:16.064290
4322301,Tuparendi,687,299,0/0: REGIC Priority (Centro Sub-Regional A > Centro Local),0/0,False,2026-01-26T14:46:16.066848
4315073,Porto Vera Cruz,687,299,0/0: REGIC Priority (Centro Sub-Regional A > Centro Local),0/0,True,2026-01-26T14:46:16.079534
4317905,Santo Cristo,687,299,0/0: REGIC Priority (Centro Sub-Regional A > Centro Local),0/0,False,2026-01-26T14:46:16.082102
